positon,velocity,time
0.924848733692656,-0.0576299407189398,4.32
0.923179246983762,-0.0536805776105257,4.35
0.921627207839004,-0.0498003443653674,4.38
0.920190521145778,-0.0459906379757219,4.41
0.918867051443688,-0.0422527516196741,4.44
0.917654626010229,-0.0385878765828198,4.47
0.916551037888318,-0.034997104213489,4.5
0.915554048854693,-0.031481427908784,4.53
0.914661392328305,-0.0280417451287626,4.56
0.913870776217892,-0.0246788594361466,4.59
0.913179885708016,-0.0213934825589955,4.62
0.912586385982902,-0.0181862364738356,4.65
0.912087924887511,-0.0150576555067943,4.68
0.911682135525331,-0.012008188450345,4.71
0.911366638792475,-0.00903820069332344,4.74
0.911139045847694,-0.00614797636193577,4.77
0.910996960518028,-0.00333772046953526,4.8
0.910937981639863,-0.000607561073002037,4.83
0.910959705335218,0.00204244856638048,4.86
0.911059727223169,0.00461232781960149,4.89
0.911235644566356,0.00710216652614109,4.92
0.911485058352597,0.00951212283166299,4.95
0.911805575311684,0.011842421029055,4.98
0.912194809867469,0.0140933494046324,5.01
0.912650386025451,0.0162652580912611,5.04
0.913169939196072,0.0183585569300996,5.07
0.913751117954019,0.0203737133426007,5.1
0.914391585733857,0.0223112502143554,5.13
0.915089022462379,0.0241717437923075,5.16
0.915841126128086,0.025955821596805,5.19
0.916645614288271,0.027664160349903,5.22
0.917500225514218,0.0292974839212741,5.25
0.918402720775045,0.0308565612930262,5.28
0.919350884760809,0.0323422045446745,5.31
0.920342527145461,0.0337552668594568,5.34
0.921375483790338,0.0350966405531312,5.37
0.922447617888856,0.0363672551263369,5.4
0.923556821053159,0.03756807534155,5.43
0.924701014343434,0.0387000993256117,5.46
0.92587814924072,0.0397643566987558,5.49
0.927086208563984,0.0407619067310104,5.52
0.928323207332307,0.0416938365268,5.55
0.929587193573053,0.0425612592385229,5.58
0.93087624907688,0.0433653123098333,5.61
0.932188490100503,0.0441071557493053,5.64
0.933522068018138,0.0447879704351129,5.67
0.934875169922551,0.0454089564513124,5.7
0.936246019176683,0.0459713314562669,5.73
0.937632875916807,0.0464763290837112,5.76
0.939034037508228,0.0469251973769087,5.79
0.940447838954488,0.0473191972563106,5.82
0.941872653261131,0.047659601021087,5.85
0.943306891755004,0.0479476908848558,5.88
0.944749004360165,0.0481847575458975,5.91
0.946197479831406,0.0483720987921046,5.94
0.947650845946453,0.0485110181408756,5.97
0.94910766965789,0.0486028235141259,6
0.950566557205856,0.0486488259485546,6.03
0.95202615419259,0.0486503383412653,6.06
0.953485145619865,0.0486086742308119,6.09
0.954942255890395,0.0485251466136997,6.12
0.956396248774259,0.048401066796346,6.15
0.957845927341426,0.0482377432824677,6.18
0.959290133861425,0.0480364806958372,6.21
0.960727749671226,0.0477985787383149,6.24
0.962157695012399,0.0475253311830406,6.27
0.963578928838582,0.0472180249026362,6.3
0.964990448594328,0.0468779389322478,6.33
0.966391289966358,0.0465063435672271,6.36
0.967780526608265,0.0461044994952287,6.39
0.969157269839689,0.0456736569624762,6.42
0.970520668320993,0.0452150549739252,6.45
0.97186990770445,0.0447299205270316,6.48
0.973204210262939,0.044219467878811,6.51
0.974522834497151,0.0436848978458547,6.54
0.975825074722282,0.0431273971369497,6.57
0.977110260635197,0.0425481377179294,6.6
0.978377756863007,0.0419482762083676,6.63
0.979626962494028,0.0413289533097074,6.66
0.980857310592049,0.0406912932644042,6.69
0.982068267694825,0.0400364033456459,6.72
